record_date,platform,sku,rating,review_count,positive_sentiment_pct,top_pain_point,top_praise
2026-08-06,Amazon,SLP-BAM-01,4.42,3420,87.4,Initial chemical smell,Instant cervical neck pain relief
2026-08-07,Amazon,SLP-BAM-01,4.42,3438,87.6,Firmness adjustment time,Very breathable cover
2026-08-08,Amazon,SLP-BAM-01,4.43,3461,88.1,Initial odor,Excellent posture support
2026-08-09,Amazon,SLP-BAM-01,4.43,3480,88.0,Zipper durability,High density foam
2026-08-10,Amazon,SLP-BAM-01,4.44,3502,88.5,Slightly high for stomach sleepers,Best memory foam pillow
2026-08-11,Amazon,SLP-BAM-01,4.44,3525,88.4,Slow bounce back in cold,Relieved chronic morning stiffness
2026-08-12,Amazon,SLP-BAM-01,4.45,3550,88.9,Cover washing instructions,Cool night sleep
2026-08-13,Amazon,SLP-BAM-01,4.45,3578,89.1,Initial smell takes 2 days,Orthopedic surgeon recommended
2026-08-14,Amazon,SLP-BAM-01,4.45,3602,89.0,Size smaller than standard king,Perfect contour shape
2026-08-15,Amazon,SLP-BAM-01,4.46,3634,89.5,Too firm on day 1,Amazing value for money
2026-08-16,Amazon,SLP-BAM-01,4.46,3671,89.8,Off-gassing smell,Helped cervical spondylosis
2026-08-17,Amazon,SLP-BAM-01,4.47,3712,90.2,Zipper pull tab,Best sleep in years
2026-08-18,Amazon,SLP-BAM-01,4.47,3758,90.4,Outer cover stain resistance,No neck pain waking up
2026-08-19,Amazon,SLP-BAM-01,4.48,3810,90.7,Packaging box bent,Pillow stays cool all night
2026-08-06,Amazon,SLP-GEL-02,4.31,2150,82.3,Gel surface warms after 3 hours,Great cooling touch initially
2026-08-07,Amazon,SLP-GEL-02,4.31,2164,82.5,Contour groove too deep,Side sleeper support
2026-08-08,Amazon,SLP-GEL-02,4.32,2178,82.8,Heavy pillow weight,Head stays elevated
2026-08-09,Amazon,SLP-GEL-02,4.32,2191,83.0,Chemical smell,Solid spine alignment
2026-08-10,Amazon,SLP-GEL-02,4.32,2205,83.1,Hard gel layer in winter,Immediate cooling effect
2026-08-11,Amazon,SLP-GEL-02,4.33,2220,83.4,Gel pad adhesion,Sweat-free sleeping
2026-08-12,Amazon,SLP-GEL-02,4.33,2234,83.5,Pillow thickness,Relieved shoulder ache
2026-08-13,Amazon,SLP-GEL-02,4.33,2251,83.7,Foam firmness,Deep restful contour
2026-08-14,Amazon,SLP-GEL-02,4.34,2268,84.0,Takes week to adjust,Great summer pillow
2026-08-15,Amazon,SLP-GEL-02,4.34,2289,84.2,Smell on opening,Relieved migraine pressure
2026-08-16,Amazon,SLP-GEL-02,4.35,2315,84.6,Cover slippage,Premium gel cooling sheet
2026-08-17,Amazon,SLP-GEL-02,4.35,2340,84.8,Weight of pillow,Neck soreness gone
2026-08-18,Amazon,SLP-GEL-02,4.36,2372,85.2,Foam density too hard,Wake up refreshed
2026-08-19,Amazon,SLP-GEL-02,4.36,2405,85.5,Cover zipper quality,Excellent build quality
2026-08-06,Flipkart,SLP-BAM-01,4.38,2890,85.2,Delivery package pressed foam,Great ergonomic design
2026-08-07,Flipkart,SLP-BAM-01,4.38,2905,85.4,Smell needs 24hr airing,Good support for neck
2026-08-08,Flipkart,SLP-BAM-01,4.39,2922,85.8,Pillowcase tightness,Affordable orthotic pillow
2026-08-09,Flipkart,SLP-BAM-01,4.39,2940,85.9,Firmness,Super comfortable foam
2026-08-10,Flipkart,SLP-BAM-01,4.39,2958,86.0,Initial rubber odor,Very fast relief from pain
2026-08-11,Flipkart,SLP-BAM-01,4.40,2976,86.3,Size measurement,Soft washable cover
2026-08-12,Flipkart,SLP-BAM-01,4.40,2995,86.5,Slow inflation from vacuum,Worth every rupee
2026-08-13,Flipkart,SLP-BAM-01,4.41,3014,86.9,Stitch loose on corner,Soft yet supportive
2026-08-14,Flipkart,SLP-BAM-01,4.41,3035,87.0,Too bulky for travel,Doctor recommended
2026-08-15,Flipkart,SLP-BAM-01,4.42,3060,87.4,Slight chemical smell,Helped neck spasm
2026-08-16,Flipkart,SLP-BAM-01,4.42,3090,87.6,Inner lining thin,Perfect height for back sleeping
2026-08-17,Flipkart,SLP-BAM-01,4.43,3125,88.1,Cover zipper,Sound sleep throughout night
2026-08-18,Flipkart,SLP-BAM-01,4.43,3165,88.3,Foam firmness,Awesome packaging and product
2026-08-19,Flipkart,SLP-BAM-01,4.44,3210,88.6,Box crushed in transit,Exceptional quality pillow
2026-08-06,Blinkit,SLP-BAM-01,4.52,620,92.1,Price high for 10-min delivery,Arrived in 12 minutes hot relief
